step,run_id,loss
1000,A_w100_T10000_std_lr0.01_s0,0.525841
1000,A_w100_T10000_std_lr0.01_s1,0.750703
1000,A_w100_T10000_std_lr0.01_s2,0.286651
1000,A_w100_T10000_std_lr0.01_s3,0.575917
1000,A_w100_T10000_std_lr0.01_s4,0.890513
1000,A_w100_T10000_std_lr0.01_s5,0.577613
1000,A_w100_T10000_std_lr0.01_s6,1.00375
1000,A_w100_T10000_std_lr0.01_s7,1.04079
1000,A_w100_T10000_std_lr0.01_s8,1.15198
1000,A_w100_T10000_std_lr0.01_s9,0.988734
2000,A_w100_T10000_std_lr0.01_s0,0.239903
2000,A_w100_T10000_std_lr0.01_s1,0.456359
2000,A_w100_T10000_std_lr0.01_s2,0.0902894
2000,A_w100_T10000_std_lr0.01_s3,0.187475
2000,A_w100_T10000_std_lr0.01_s4,0.306778
2000,A_w100_T10000_std_lr0.01_s5,0.279705
2000,A_w100_T10000_std_lr0.01_s6,0.481045
2000,A_w100_T10000_std_lr0.01_s7,0.567524
2000,A_w100_T10000_std_lr0.01_s8,0.601567
2000,A_w100_T10000_std_lr0.01_s9,0.589707
3000,A_w100_T10000_std_lr0.01_s0,0.146073
3000,A_w100_T10000_std_lr0.01_s1,0.349528
3000,A_w100_T10000_std_lr0.01_s2,0.0484763
3000,A_w100_T10000_std_lr0.01_s3,0.0929806
3000,A_w100_T10000_std_lr0.01_s4,0.141014
3000,A_w100_T10000_std_lr0.01_s5,0.183017
3000,A_w100_T10000_std_lr0.01_s6,0.3346
3000,A_w100_T10000_std_lr0.01_s7,0.285791
3000,A_w100_T10000_std_lr0.01_s8,0.373882
3000,A_w100_T10000_std_lr0.01_s9,0.283408
4000,A_w100_T10000_std_lr0.01_s0,0.0834082
4000,A_w100_T10000_std_lr0.01_s1,0.192691
4000,A_w100_T10000_std_lr0.01_s2,0.0249302
4000,A_w100_T10000_std_lr0.01_s3,0.0507664
4000,A_w100_T10000_std_lr0.01_s4,0.0616886
4000,A_w100_T10000_std_lr0.01_s5,0.0924071
4000,A_w100_T10000_std_lr0.01_s6,0.205846
4000,A_w100_T10000_std_lr0.01_s7,0.121517
4000,A_w100_T10000_std_lr0.01_s8,0.210237
4000,A_w100_T10000_std_lr0.01_s9,0.0975241
5000,A_w100_T10000_std_lr0.01_s0,0.0457888
5000,A_w100_T10000_std_lr0.01_s1,0.111023
5000,A_w100_T10000_std_lr0.01_s2,0.0146609
5000,A_w100_T10000_std_lr0.01_s3,0.0229863
5000,A_w100_T10000_std_lr0.01_s4,0.0350794
5000,A_w100_T10000_std_lr0.01_s5,0.0342133
5000,A_w100_T10000_std_lr0.01_s6,0.0980124
5000,A_w100_T10000_std_lr0.01_s7,0.0460397
5000,A_w100_T10000_std_lr0.01_s8,0.103398
5000,A_w100_T10000_std_lr0.01_s9,0.0251793
6000,A_w100_T10000_std_lr0.01_s0,0.0242731
6000,A_w100_T10000_std_lr0.01_s1,0.0653203
6000,A_w100_T10000_std_lr0.01_s2,0.00749018
6000,A_w100_T10000_std_lr0.01_s3,0.0110988
6000,A_w100_T10000_std_lr0.01_s4,0.0178856
6000,A_w100_T10000_std_lr0.01_s5,0.0109833
6000,A_w100_T10000_std_lr0.01_s6,0.0583362
6000,A_w100_T10000_std_lr0.01_s7,0.0237903
6000,A_w100_T10000_std_lr0.01_s8,0.0524371
6000,A_w100_T10000_std_lr0.01_s9,0.00541608
7000,A_w100_T10000_std_lr0.01_s0,0.0118753
7000,A_w100_T10000_std_lr0.01_s1,0.0321002
7000,A_w100_T10000_std_lr0.01_s2,0.0045775
